date,open,high,low,close,volume
21/08/2020,29.8415,29.87,29.2709,29.385,1022929
24/08/2020,29.4896,30.4216,29.366,30.3835,791805
25/08/2020,30.5737,30.6022,29.832,29.9271,884160
26/08/2020,29.889,30.0412,29.4896,29.851,1345084
27/08/2020,30.0792,31.2205,30.0412,30.7259,980905
28/08/2020,31.0397,31.0397,30.0412,30.6878,1269730
31/08/2020,30.5357,30.5927,29.908,29.9936,1111544
01/09/2020,29.7369,30.1648,29.6703,30.0507,930147
02/09/2020,30.1838,30.6878,29.8129,30.5547,1232964
03/09/2020,30.7449,31.4296,30.412,30.5452,1480176
04/09/2020,31.1063,31.2679,29.9366,30.3074,1141301
08/09/2020,29.9556,29.9556,28.9761,29.4801,1486306
09/09/2020,29.6988,30.336,29.4801,30.0031,1697256
10/09/2020,30.0507,30.2123,29.5372,29.6322,1266764
11/09/2020,29.6703,29.8129,28.9713,29.2233,1294574
14/09/2020,29.5372,29.832,29.2424,29.5181,1319491
15/09/2020,29.5657,29.87,28.7098,28.8049,1889610
16/09/2020,28.9951,29.6132,28.881,29.1092,1400701
17/09/2020,28.7383,29.0712,28.3484,28.9285,1581890
18/09/2020,28.881,28.9856,27.873,28.0346,3670174
21/09/2020,27.3404,27.5877,26.6082,27.4735,2897439
22/09/2020,27.5686,28.2534,27.3261,27.5782,1448553
23/09/2020,27.6542,27.9205,26.5416,26.5606,2044431
24/09/2020,26.5987,27.0741,26.0661,26.7603,2230816
25/09/2020,26.418,27.1159,26.4037,27.0551,1647925
28/09/2020,27.5972,28.2629,27.464,27.8254,1800021
29/09/2020,27.6637,27.873,27.1122,27.4545,1276558
30/09/2020,27.6732,28.2629,27.5877,27.8159,2359787
01/10/2020,27.911,28.2438,27.6875,27.9585,1291326
02/10/2020,27.445,28.4721,27.1978,28.2438,701834
05/10/2020,28.5481,29.1853,28.2248,29.1377,989999
06/10/2020,29.4325,29.4325,28.5529,28.7003,936690
07/10/2020,28.9095,29.3374,28.629,28.7574,1288282
08/10/2020,28.9,29.9651,28.9,29.9556,1230888
09/10/2020,30.412,30.4311,29.9366,29.9841,1772229
12/10/2020,29.7939,30.2884,29.5181,30.1553,1616283
